"candidato_numero","date_scraped","candidato_estado","id","candidato_nome"
"45","2011-03-23T08:50:51.715680","BR","280000000012","ANTÔNIO PEDRO DE SIQUEIRA INDIO DA COSTA"
"21","2011-03-23T08:50:51.761937","BR","280000000018","EDMILSON SILVA COSTA"
"21","2011-03-23T08:50:51.771772","BR","280000000017","IVAN MARTINS PINHEIRO"
"29","2011-03-23T08:50:51.798361","BR","280000000008","EDSON DORTA SILVA"
"29","2011-03-23T08:50:51.816120","BR","280000000007","RUI COSTA PIMENTA"
"28","2011-03-23T08:50:51.837948","BR","280000000009","JOSE LEVY FIDELIX DA CRUZ"
"28","2011-03-23T08:50:51.969752","BR","280000000010","LUIZ EDUARDO AYRES DUARTE"
"45","2011-03-23T08:50:51.990524","BR","280000000011","JOSÉ SERRA"
"27","2011-03-23T08:50:52.000542","BR","280000000015","JOSE MARIA EYMAEL"
"27","2011-03-23T08:50:52.009761","BR","280000000016","JOSE PAULO DA SILVA NETO"
"50","2011-03-23T08:50:52.019509","BR","280000000020","HAMILTON MOREIRA DE ASSIS"
"50","2011-03-23T08:50:52.029207","BR","280000000019","PLÍNIO SOARES DE ARRUDA SAMPAIO"
"16","2011-03-23T08:50:52.039210","BR","280000000004","CLÁUDIA ALVES DURANS"
"16","2011-03-23T08:50:52.051119","BR","280000000003","JOSÉ MARIA DE ALMEIDA"
"13","2011-03-23T08:50:52.063857","BR","280000000005","DILMA VANA ROUSSEFF"
"13","2011-03-23T08:50:52.074064","BR","280000000006","MICHEL MIGUEL ELIAS TEMER LULIA"
"43","2011-03-23T08:50:52.084791","BR","280000000002","GUILHERME PEIRÃO LEAL"
"43","2011-03-23T08:50:52.094714","BR","280000000001","MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA"
"25444","2011-03-23T08:50:55.276956","AC","10000000395","ANTONIO CARLOS OLIMPIO FELISBERTO"
"333","2011-03-23T08:50:55.296412","AC","10000000135","FERNANDO CARVALHO LAGE"
"25600","2011-03-23T08:50:55.305379","AC","10000000412","FRANCISCO PEREIRA DA SILVA NETO"
"25123","2011-03-23T08:50:55.316144","AC","10000000420","JAMYL ASFURY MARTINS OLIVEIRA"
"25678","2011-03-23T08:50:55.328148","AC","10000000421","JANALDO PINHEIRO CAVALCANTE"
"25777","2011-03-23T08:50:55.338719","AC","10000000422","JOAO MARCOS DE SOUZA DA LUZ"
"25888","2011-03-23T08:50:55.349318","AC","10000000434","LUIZ BASTOS DE ALMEIDA"
"25555","2011-03-23T08:50:55.359818","AC","10000000438","MANOEL JOSE NOGUEIRA LIMA"
"25015","2011-03-23T08:50:55.370611","AC","10000000440","MARCELO PENHA DE OLIVEIRA"
"25800","2011-03-23T08:50:55.380713","AC","10000000449","PEDRO SAMUEL MILANI NOGUEIRA"
"2525","2011-03-23T08:50:55.390756","AC","10000000210","RAIMUNDO MOREIRA NOLETO"
"25234","2011-03-23T08:50:55.400748","AC","10000000457","VALDIVINO NONATO DE SOUZA"
"65111","2011-03-23T08:50:55.410766","AC","10000000086","ADAMOR DAS MERCES PEREIRA"
"65444","2011-03-23T08:50:55.420928","AC","10000000087","ANTONIO JOSE SOUZA DOS SANTOS"
"65147","2011-03-23T08:50:55.431287","AC","10000000088","ANTONIO MATIAS DA COSTA FILHO"
"65413","2011-03-23T08:50:55.441270","AC","10000000089","ARYANNY CADAXO FEITOSA LIMA"
"651","2011-03-23T08:50:55.451934","AC","10000000128","CARLOS AUGUSTO BEYRUTH BORGES"
"65000","2011-03-23T08:50:55.461906","AC","10000000090","CARLOS FERNANDO GOMES MARTINS"
"65565","2011-03-23T08:50:55.472496","AC","10000000091","CLAUDIOMAR NEGREIROS DE MELO"
"65400","2011-03-23T08:50:55.483254","AC","10000000092","EDIVAN PINHEIRO BEZERRA"
"651","2011-03-23T08:50:55.494182","AC","10000000124","EDVALDO SOARES DE MAGALHAES"
"65800","2011-03-23T08:50:55.503764","AC","10000000093","ELDO LIMA PENHA"
"65999","2011-03-23T08:50:55.514381","AC","10000000094","FRANCINEIA MELO DA SILVA"
"65013","2011-03-23T08:50:55.524431","AC","10000000095","FRANCISCO EDUARDO SARAIVA DE FARIAS"
"65369","2011-03-23T08:50:55.535112","AC","10000000096","GESSIMAR FERREIRA LUCIANO"
"65777","2011-03-23T08:50:55.546513","AC","10000000097","GLADSON DA ROCHA ROQUE"
"65456","2011-03-23T08:50:55.558272","AC","10000000098","HIAMAR DE PAIVA PINHEIRO"
"65165","2011-03-23T08:50:55.571529","AC","10000000099","IRIS TAVARES DA SILVA"
"65122","2011-03-23T08:50:55.583710","AC","10000000100","JAILSON PONTES DE AMORIM"
"65333","2011-03-23T08:50:55.595098","AC","10000000101","JEBSON MEDEIROS DE SOUZA"
"65113","2011-03-23T08:50:55.606952","AC","10000000102","JEOSAFÁ CESAR DA COSTA"
"65300","2011-03-23T08:50:55.618121","AC","10000000103","JOAQUIM DE CASTRO DA CONCEICAO"
"65123","2011-03-23T08:50:55.630029","AC","10000000104","JOSE DE SOUZA LIMA"
"65622","2011-03-23T08:50:55.640512","AC","10000000105","JOSE FERREIRA DO NASCIMENTO FILHO"
"65852","2011-03-23T08:50:55.651202","AC","10000000106","JOSE GADELHA DAS CHAGAS"
"65890","2011-03-23T08:50:55.661381","AC","10000000107","JOSE OLIVEIRA ROCHA"
"651","2011-03-23T08:50:55.671347","AC","10000000126","JULIO EDUARDO GOMES PEREIRA"
"65258","2011-03-23T08:50:55.682190","AC","10000000108","JUSSARA BOMFIM DO NASCIMENTO"
"65500","2011-03-23T08:50:55.693113","AC","10000000109","LOURDES DOS SANTOS VIDAL"
"65222","2011-03-23T08:50:55.704407","AC","10000000110","LOURIVAL MUSTAFA DE ANDRADE"
"65159","2011-03-23T08:50:55.714536","AC","10000000111","LUCINEIA MOURA SAMPAIO LOPES"
"65888","2011-03-23T08:50:55.726104","AC","10000000112","LUIZ AUGUSTO DE ARAUJO PINHEIRO"
"65700","2011-03-23T08:50:55.736199","AC","10000000113","MARCOS ALEXSSON DE SOUSA CHAGAS"
"651","2011-03-23T08:50:55.747114","AC","10000000583","MARIA DO CARMO FERREIRA DA CUNHA"
"6513","2011-03-23T08:50:55.759241","AC","10000000251","MARIA PERPETUA DE ALMEIDA"
"65655","2011-03-23T08:50:55.770682","AC","10000000114","MARIA RITA PEREIRA BATISTA"
"65131","2011-03-23T08:50:55.781556","AC","10000000115","MARIA VANGERLÂNDIA DO NASCIMENTO SILVA"
"65789","2011-03-23T08:50:55.792594","AC","10000000116","MOISES DINIZ LIMA"
"65412","2011-03-23T08:50:55.803013","AC","10000000117","OCENILZA VENANCIO SARAIVA"
"65555","2011-03-23T08:50:55.813426","AC","10000000118","RAIMUNDO LACERDA DA SILVA"
"65100","2011-03-23T08:50:55.877578","AC","10000000119","ROBERTO CARLOS LEANDRO LUNA"
"65321","2011-03-23T08:50:55.887304","AC","10000000120","ROSIMAR LIMA DE OLIVEIRA"
"65478","2011-03-23T08:50:55.898314","AC","10000000121","WALDENIRA PEREIRA DOS SANTOS"
"1212","2011-03-23T08:50:55.915816","AC","10000000247","JAIRO CASSIANO BARBOSA"
"12345","2011-03-23T08:50:55.975630","AC","10000000278","JOSÉ LUIS SCHAFER"
"12000","2011-03-23T08:50:56.035482","AC","10000000289","THIAGO DE ALMEIDA ALENCAR"
"12777","2011-03-23T08:50:56.095738","AC","10000000514","WALTER LEITÃO PRADO"
"31000","2011-03-23T08:50:56.155686","AC","10000000267","FRANCISCO LUCIANO DE LIMA OLIVEIRA"
"15122","2011-03-23T08:50:56.215863","AC","10000000001","ANTONIA ROJAS SALES"
"15515","2011-03-23T08:50:56.275734","AC","10000000002","ANTONIO NIZOMAR DOS SANTOS"
"15369","2011-03-23T08:50:56.326716","AC","10000000003","BENEDITO VIEIRA DA SILVA"
"1515","2011-03-23T08:50:56.382204","AC","10000000195","DEODATO NUNES DE FRANÇA"
"15999","2011-03-23T08:50:56.728137","AC","10000000004","ESPERIDIAO MENEZES JUNIOR"
"15678","2011-03-23T08:50:56.754425","AC","10000000005","EVERALDO GOMES PEREIRA DA SILVA"
"1555","2011-03-23T08:50:56.765920","AC","10000000198","FLAVIANO FLAVIO BAPTISTA DE MELO"
"15222","2011-03-23T08:50:56.778672","AC","10000000006","FRANCISCO CARDOZO DO NASCIMENTO"
"15111","2011-03-23T08:50:56.790890","AC","10000000007","FRANCISCO DAS CHAGAS BELO DE OLIVEIRA"
"15120","2011-03-23T08:50:56.802476","AC","10000000008","FRANCISCO DAS CHAGAS ROMAO"
"15121","2011-03-23T08:50:56.814597","AC","10000000009","FRANCISCO DE JESUS LIMA DE ARAUJO"
"15015","2011-03-23T08:50:56.827950","AC","10000000010","FRANCISCO IBERTOM MEDEIROS CALIXTO"
"15333","2011-03-23T08:50:56.840859","AC","10000000011","GILDOMAR OLIVEIRA GOMES"
"15135","2011-03-23T08:50:56.853318","AC","10000000012","IVONETE DOS SANTOS DE OLIVEIRA"
"151","2011-03-23T08:50:56.866300","AC","10000000132","JOAO CORREIA LIMA SOBRINHO"
