"comite_partido","date_scraped","comite_descricao","id","comite_estado"
"PSB","2011-03-23T21:09:32.715508","Comitê Financeiro Único","107","RJ"
"PMDB","2011-03-23T21:09:32.730547","Comitê Financeiro Único","118","RJ"
"PSTU","2011-03-23T21:09:32.754104","Comitê Financeiro Único","124","RJ"
"PPS","2011-03-23T21:09:32.766300","Comitê Financeiro Único","198","RJ"
"PMN","2011-03-23T21:09:32.796984","Comitê Financeiro Único","207","RJ"
"PRTB","2011-03-23T21:09:32.808417","Comitê Financeiro Único","212","RJ"
"PCB","2011-03-23T21:09:32.868850","Comitê Financeiro Único","2533","RJ"
"PSDC","2011-03-23T21:09:32.879227","Comitê Financeiro Único","233","RJ"
"PHS","2011-03-23T21:09:32.889754","Comitê Financeiro Único","236","RJ"
"PC do B","2011-03-23T21:09:32.900257","Comitê Financeiro Único","266","RJ"
"DEM","2011-03-23T21:09:32.911767","Comitê Financeiro Único","272","RJ"
"PTB","2011-03-23T21:09:32.923129","Comitê Financeiro Único","308","RJ"
"PSL","2011-03-23T21:09:32.933819","Comitê Financeiro Único","329","RJ"
"PT","2011-03-23T21:09:32.944112","Comitê Financeiro Único","357","RJ"
"PRB","2011-03-23T21:09:32.954528","Comitê Financeiro Único","367","RJ"
"PRP","2011-03-23T21:09:32.965116","Comitê Financeiro Único","427","RJ"
"PTC","2011-03-23T21:09:32.977593","Comitê Financeiro Único","501","RJ"
"PR","2011-03-23T21:09:32.990018","Comitê Financeiro Único","548","RJ"
"PT do B","2011-03-23T21:09:33.001965","Comitê Financeiro Único","650","RJ"
"PTN","2011-03-23T21:09:33.012996","Comitê Financeiro Único","746","RJ"
"PSOL","2011-03-23T21:09:33.024125","Comitê Financeiro Único","103","RJ"
"PP","2011-03-23T21:09:33.036280","Comitê Financeiro Único","48","RJ"
"PV","2011-03-23T21:09:33.051379","Comitê Financeiro Único","45","RJ"
"PSC","2011-03-23T21:09:33.087767","Comitê Financeiro Único","40","RJ"
"PDT","2011-03-23T21:09:33.100224","Comitê Financeiro Único","215","RJ"
"PR","2011-03-23T21:09:34.672213","Comitê Financeiro Distrital/Estadual para Deputado Estadual","481","RN"
"PR","2011-03-23T21:09:34.680705","Comitê Financeiro Distrital/Estadual para Deputado Federal","478","RN"
"PR","2011-03-23T21:09:34.690619","Comitê Financeiro Distrital/Estadual para Senador da República","476","RN"
"PTB","2011-03-23T21:09:34.702134","Comitê Financeiro Único","174","RN"
"PP","2011-03-23T21:09:34.713305","Comitê Financeiro Único","186","RN"
"PRB","2011-03-23T21:09:34.724995","Comitê Financeiro Único","232","RN"
"DEM","2011-03-23T21:09:34.738017","Comitê Financeiro Único","287","RN"
"PSB","2011-03-23T21:09:34.749626","Comitê Financeiro Único","373","RN"
"PSDB","2011-03-23T21:09:34.759789","Comitê Financeiro Único","389","RN"
"PTN","2011-03-23T21:09:34.770359","Comitê Financeiro Único","862","RN"
"PTC","2011-03-23T21:09:34.780450","Comitê Financeiro Único","441","RN"
"PDT","2011-03-23T21:09:34.789826","Comitê Financeiro Único","462","RN"
"PV","2011-03-23T21:09:34.799980","Comitê Financeiro Único","529","RN"
"PSDC","2011-03-23T21:09:34.810382","Comitê Financeiro Único","565","RN"
"PMDB","2011-03-23T21:09:34.821480","Comitê Financeiro Único","588","RN"
"PT","2011-03-23T21:09:34.931470","Comitê Financeiro Único","637","RN"
"PCB","2011-03-23T21:09:35.071428","Comitê Financeiro Único","685","RN"
"PRTB","2011-03-23T21:09:35.285516","Comitê Financeiro Único","708","RN"
"PPS","2011-03-23T21:09:35.421457","Comitê Financeiro Único","710","RN"
"PSTU","2011-03-23T21:09:35.541869","Comitê Financeiro Único","775","RN"
"PSC","2011-03-23T21:09:35.624683","Comitê Financeiro Único","841","RN"
"PSL","2011-03-23T21:09:35.716652","Comitê Financeiro Único","849","RN"
"PMN","2011-03-23T21:09:35.793220","Comitê Financeiro Único","172","RN"
"PHS","2011-03-23T21:09:35.815942","Comitê Financeiro Único","158","RN"
"PSOL","2011-03-23T21:09:35.830089","Comitê Financeiro Único","129","RN"
"PC do B","2011-03-23T21:09:35.842653","Comitê Financeiro Único","429","RN"
"PC do B","2011-03-23T21:09:38.070610","Comitê Financeiro Único","8","RS"
"PRP","2011-03-23T21:09:38.096720","Comitê Financeiro Único","882","RS"
"PSDB","2011-03-23T21:09:38.107993","Comitê Financeiro Único","137","RS"
"PP","2011-03-23T21:09:38.118762","Comitê Financeiro Único","202","RS"
"DEM","2011-03-23T21:09:38.130375","Comitê Financeiro Único","222","RS"
"PT","2011-03-23T21:09:38.150852","Comitê Financeiro Único","244","RS"
"PRB","2011-03-23T21:09:38.161437","Comitê Financeiro Único","304","RS"
"PSB","2011-03-23T21:09:38.197542","Comitê Financeiro Único","314","RS"
"PMDB","2011-03-23T21:09:38.247134","Comitê Financeiro Único","323","RS"
"PMN","2011-03-23T21:09:38.261781","Comitê Financeiro Único","341","RS"
"PTB","2011-03-23T21:09:38.273087","Comitê Financeiro Único","362","RS"
"PV","2011-03-23T21:09:38.286225","Comitê Financeiro Único","402","RS"
"PDT","2011-03-23T21:09:38.306919","Comitê Financeiro Único","418","RS"
"PSTU","2011-03-23T21:09:38.318614","Comitê Financeiro Único","466","RS"
"PR","2011-03-23T21:09:38.330955","Comitê Financeiro Único","502","RS"
"PSC","2011-03-23T21:09:38.340462","Comitê Financeiro Único","525","RS"
"PTN","2011-03-23T21:09:38.350977","Comitê Financeiro Único","528","RS"
"PTC","2011-03-23T21:09:38.360323","Comitê Financeiro Único","649","RS"
"PSDC","2011-03-23T21:09:38.370737","Comitê Financeiro Único","669","RS"
"PHS","2011-03-23T21:09:38.381426","Comitê Financeiro Único","700","RS"
"PPS","2011-03-23T21:09:38.390937","Comitê Financeiro Único","718","RS"
"PCB","2011-03-23T21:09:38.400349","Comitê Financeiro Único","878","RS"
"PSOL","2011-03-23T21:09:38.412345","Comitê Financeiro Único","39","RS"
"PPS","2011-03-23T21:09:40.159819","Comitê Financeiro Distrital/Estadual para Deputado Estadual","486","RO"
"PPS","2011-03-23T21:09:40.235905","Comitê Financeiro Distrital/Estadual para Deputado Federal","489","RO"
"PPS","2011-03-23T21:09:40.270969","Comitê Financeiro Distrital/Estadual para Governador","483","RO"
"PSDB","2011-03-23T21:09:40.284520","Comitê Financeiro Único","498","RO"
"PMN","2011-03-23T21:09:40.354585","Comitê Financeiro Único","545","RO"
"PP","2011-03-23T21:09:40.381044","Comitê Financeiro Único","549","RO"
"PSC","2011-03-23T21:09:40.389387","Comitê Financeiro Único","564","RO"
"PTB","2011-03-23T21:09:40.398839","Comitê Financeiro Único","581","RO"
"PT do B","2011-03-23T21:09:40.408826","Comitê Financeiro Único","591","RO"
"DEM","2011-03-23T21:09:40.417220","Comitê Financeiro Único","859","RO"
"PHS","2011-03-23T21:09:40.426480","Comitê Financeiro Único","721","RO"
"PDT","2011-03-23T21:09:40.435217","Comitê Financeiro Único","730","RO"
"PC do B","2011-03-23T21:09:40.444557","Comitê Financeiro Único","742","RO"
"PV","2011-03-23T21:09:40.465576","Comitê Financeiro Único","745","RO"
"PSL","2011-03-23T21:09:40.513808","Comitê Financeiro Único","749","RO"
"PRP","2011-03-23T21:09:40.524925","Comitê Financeiro Único","751","RO"
"PMDB","2011-03-23T21:09:40.537429","Comitê Financeiro Único","765","RO"
"PR","2011-03-23T21:09:40.550181","Comitê Financeiro Único","785","RO"
"PRTB","2011-03-23T21:09:40.560930","Comitê Financeiro Único","788","RO"
"PSOL","2011-03-23T21:09:40.571873","Comitê Financeiro Único","801","RO"
"PTC","2011-03-23T21:09:40.584889","Comitê Financeiro Único","850","RO"
"PT","2011-03-23T21:09:40.616468","Comitê Financeiro Único","467","RO"
"PRB","2011-03-23T21:09:40.625804","Comitê Financeiro Único","392","RO"
"PSB","2011-03-23T21:09:40.650769","Comitê Financeiro Único","364","RO"
"PTN","2011-03-23T21:09:40.661688","Comitê Financeiro Único","706","RO"
"PPS","2011-03-23T21:09:42.739701","Comitê Financeiro Distrital/Estadual para Deputado Estadual","615","RR"
"PTB","2011-03-23T21:09:42.760881","Comitê Financeiro Distrital/Estadual para Deputado Estadual","294","RR"
"PMDB","2011-03-23T21:09:42.783856","Comitê Financeiro Distrital/Estadual para Deputado Estadual","611","RR"
"DEM","2011-03-23T21:09:42.794816","Comitê Financeiro Distrital/Estadual para Deputado Estadual","796","RR"
"PTB","2011-03-23T21:09:42.809821","Comitê Financeiro Distrital/Estadual para Deputado Federal","295","RR"
"PMDB","2011-03-23T21:09:42.822903","Comitê Financeiro Distrital/Estadual para Deputado Federal","613","RR"
"DEM","2011-03-23T21:09:42.834937","Comitê Financeiro Distrital/Estadual para Deputado Federal","797","RR"
"DEM","2011-03-23T21:09:42.845810","Comitê Financeiro Distrital/Estadual para Governador","848","RR"
"PPS","2011-03-23T21:09:42.856693","Comitê Financeiro Distrital/Estadual para Senador da República","2741","RR"
"PMDB","2011-03-23T21:09:42.867444","Comitê Financeiro Distrital/Estadual para Senador da República","614","RR"
"PRP","2011-03-23T21:09:42.880705","Comitê Financeiro Único","556","RR"
"PSDB","2011-03-23T21:09:42.892207","Comitê Financeiro Único","560","RR"
"PSC","2011-03-23T21:09:42.904341","Comitê Financeiro Único","562","RR"
"PSDC","2011-03-23T21:09:42.914910","Comitê Financeiro Único","577","RR"
"PP","2011-03-23T21:09:42.926386","Comitê Financeiro Único","590","RR"
"PTC","2011-03-23T21:09:42.956876","Comitê Financeiro Único","612","RR"
"PT","2011-03-23T21:09:42.975842","Comitê Financeiro Único","623","RR"
"PDT","2011-03-23T21:09:43.063187","Comitê Financeiro Único","553","RR"
"PSOL","2011-03-23T21:09:43.072150","Comitê Financeiro Único","550","RR"
"PMN","2011-03-23T21:09:43.097882","Comitê Financeiro Único","547","RR"
"PRTB","2011-03-23T21:09:43.123520","Comitê Financeiro Único","541","RR"
"PRB","2011-03-23T21:09:43.138868","Comitê Financeiro Único","345","RR"
"PV","2011-03-23T21:09:43.150881","Comitê Financeiro Único","336","RR"
"PTN","2011-03-23T21:09:43.161612","Comitê Financeiro Único","674","RR"
"PSB","2011-03-23T21:09:43.169571","Comitê Financeiro Único","293","RR"
"PC do B","2011-03-23T21:09:43.182589","Comitê Financeiro Único","292","RR"
"PR","2011-03-23T21:09:43.199956","Comitê Financeiro Único","288","RR"
"PSL","2011-03-23T21:09:43.207540","Comitê Financeiro Único","318","RR"
"PSDC","2011-03-23T21:09:44.547548","Comitê Financeiro Distrital/Estadual para Deputado Estadual","2761","SC"
"PDT","2011-03-23T21:09:44.556057","Comitê Financeiro Único","136","SC"
"PRP","2011-03-23T21:09:44.565474","Comitê Financeiro Único","150","SC"
"PC do B","2011-03-23T21:09:44.576190","Comitê Financeiro Único","169","SC"
"PP","2011-03-23T21:09:44.586931","Comitê Financeiro Único","177","SC"
"PSTU","2011-03-23T21:09:44.600350","Comitê Financeiro Único","307","SC"
"DEM","2011-03-23T21:09:44.612623","Comitê Financeiro Único","322","SC"
"PT do B","2011-03-23T21:09:44.627280","Comitê Financeiro Único","365","SC"
"PR","2011-03-23T21:09:44.686808","Comitê Financeiro Único","439","SC"
"PSB","2011-03-23T21:09:44.693896","Comitê Financeiro Único","461","SC"
"PT","2011-03-23T21:09:44.702847","Comitê Financeiro Único","468","SC"
"PPS","2011-03-23T21:09:44.709663","Comitê Financeiro Único","470","SC"
"PSOL","2011-03-23T21:09:44.716618","Comitê Financeiro Único","493","SC"
"PTC","2011-03-23T21:09:44.724876","Comitê Financeiro Único","524","SC"
"PSDB","2011-03-23T21:09:44.731949","Comitê Financeiro Único","586","SC"
"PTB","2011-03-23T21:09:44.741872","Comitê Financeiro Único","665","SC"
"PSC","2011-03-23T21:09:44.749357","Comitê Financeiro Único","673","SC"
"PSL","2011-03-23T21:09:44.761188","Comitê Financeiro Único","680","SC"
"PMN","2011-03-23T21:09:44.787798","Comitê Financeiro Único","687","SC"
"PV","2011-03-23T21:09:44.804829","Comitê Financeiro Único","720","SC"
"PMDB","2011-03-23T21:09:44.815710","Comitê Financeiro Único","726","SC"
"PHS","2011-03-23T21:09:44.823597","Comitê Financeiro Único","761","SC"
"PRB","2011-03-23T21:09:44.835314","Comitê Financeiro Único","791","SC"
"PCB","2011-03-23T21:09:44.843404","Comitê Financeiro Único","2701","SC"
"PRTB","2011-03-23T21:09:44.857918","Comitê Financeiro Único","113","SC"
"PSDB","2011-03-23T21:09:46.894884","Comitê Financeiro Distrital/Estadual para Deputado Estadual","41","SP"
