"partido_descricao","date_scraped","partido_estado","id","partido_partido"
"Direção Nacional","2011-03-23T21:25:21.116530","BR","910","PTC"
"Direção Nacional","2011-03-23T21:25:21.320866","BR","1877","PSOL"
"Direção Nacional","2011-03-23T21:25:21.338552","BR","1230","PSB"
"Direção Nacional","2011-03-23T21:25:21.368941","BR","1852","PSTU"
"Direção Nacional","2011-03-23T21:25:21.375963","BR","1853","PHS"
"Direção Nacional","2011-03-23T21:25:21.382689","BR","1854","PV"
"Direção Nacional","2011-03-23T21:25:21.389973","BR","1855","PPS"
"Direção Nacional","2011-03-23T21:25:21.398729","BR","1856","PP"
"Direção Nacional","2011-03-23T21:25:21.412411","BR","1857","PRTB"
"Direção Nacional","2011-03-23T21:25:21.418916","BR","1858","PT do B"
"Direção Nacional","2011-03-23T21:25:21.428743","BR","1859","PSDC"
"Direção Nacional","2011-03-23T21:25:21.453208","BR","1860","PR"
"Direção Nacional","2011-03-23T21:25:21.463045","BR","1861","PSC"
"Direção Nacional","2011-03-23T21:25:21.471442","BR","1862","PT"
"Direção Nacional","2011-03-23T21:25:21.484842","BR","1863","DEM"
"Direção Nacional","2011-03-23T21:25:21.508395","BR","1864","PCB"
"Direção Nacional","2011-03-23T21:25:21.538710","BR","1865","PC do B"
"Direção Nacional","2011-03-23T21:25:21.632707","BR","1866","PSDB"
"Direção Nacional","2011-03-23T21:25:21.658677","BR","1867","PRB"
"Direção Nacional","2011-03-23T21:25:21.703815","BR","1868","PTN"
"Direção Nacional","2011-03-23T21:25:21.773134","BR","1869","PDT"
"Direção Nacional","2011-03-23T21:25:21.791618","BR","1871","PSL"
"Direção Nacional","2011-03-23T21:25:21.799342","BR","1873","PMDB"
"Direção Nacional","2011-03-23T21:25:21.808509","BR","1874","PMN"
"Direção Nacional","2011-03-23T21:25:21.819862","BR","1875","PRP"
"Direção Nacional","2011-03-23T21:25:21.829057","BR","920","PTB"
"Direção Estadual/Distrital","2011-03-23T21:25:23.448340","AC","1881","PDT"
"Direção Estadual/Distrital","2011-03-23T21:25:23.463404","AC","2586","PSOL"
"Direção Estadual/Distrital","2011-03-23T21:25:23.471305","AC","1883","PC do B"
"Direção Estadual/Distrital","2011-03-23T21:25:23.487814","AC","1884","PSDB"
